RunnerUpName,PF,Yds,Ply,Y/P,TO,FL,1stD,PassCmp,PassAtt,PassYds,PassTD,PassInt,PassNY/A,Pass1stD,RushAtt,RushYds,RushTD,RushY/A,Rush1stD,Pen,PenYds,Pen1stPy,SeasonWins,SubSeasonWins,WonNextSB
San Francisco 49ers,479,6097,1012,6.0,23,10,336,331,478,3792,28,13,7.4,195,498,2305,23,4.6,110,105,939,31,13,6,0
Los Angeles Rams,527,6738,1060,6.4,19,7,401,368,568,4507,32,12,7.5,236,459,2231,23,4.9,134,96,878,31,13,9,0
New England Patriots,458,6307,1070,5.9,12,4,389,389,587,4418,32,8,7.1,232,448,1889,16,4.2,107,95,835,50,13,11,1
Atlanta Falcons,540,6653,995,6.7,11,4,379,374,537,4725,38,7,8.2,239,421,1928,20,4.6,108,104,848,32,11,10,0
Carolina Panthers,500,5871,1060,5.5,19,9,357,300,501,3589,35,10,6.7,197,526,2282,19,4.3,136,103,887,24,15,6,0
Seattle Seahawks,394,6012,1021,5.9,14,7,328,287,454,3250,20,7,6.6,160,525,2762,20,5.3,144,130,1009,24,12,10,0
Denver Broncos,606,7317,1156,6.3,26,16,435,461,675,5444,55,10,7.8,293,461,1873,16,4.1,107,117,1000,35,13,12,0
San Francisco 49ers,397,5789,969,6.0,16,8,322,289,436,3298,23,8,6.9,172,492,2491,17,5.1,128,109,960,22,11,12,0
New England Patriots,513,6848,1082,6.3,17,5,399,402,612,5084,39,12,7.9,262,438,1764,18,4.0,107,87,815,30,12,12,0
Pittsburgh Steelers,375,5525,993,5.6,18,9,295,298,479,3601,22,9,6.9,175,471,1924,15,4.1,106,100,903,14,13,12,0
Indianapolis Colts,416,5809,980,5.9,24,5,339,402,601,4515,34,19,7.4,241,366,1294,16,3.5,69,74,546,29,14,10,0
Arizona Cardinals,427,5852,998,5.9,30,15,328,418,630,4674,31,15,7.1,231,340,1178,14,3.5,72,107,781,25,9,10,0
New England Patriots,589,6580,1058,6.2,15,6,393,403,586,4731,50,9,7.8,243,451,1849,17,4.1,124,78,690,26,16,11,0
Chicago Bears,427,5199,1042,5.0,36,14,300,282,514,3281,24,22,6.1,161,503,1918,14,3.8,103,112,923,36,13,7,0
Seattle Seahawks,452,5915,1020,5.8,17,7,361,307,474,3458,25,10,6.9,192,519,2457,29,4.7,142,94,846,27,13,9,0
Philadelphia Eagles,386,5618,960,5.9,22,11,301,336,547,3979,32,11,6.8,188,376,1639,10,4.4,87,124,952,26,13,6,0
Carolina Panthers,325,5141,1008,5.1,31,15,284,270,460,3050,19,16,6.3,146,522,2091,9,4.0,114,116,966,24,11,7,0
Oakland Raiders,450,6237,1069,5.8,19,9,366,418,619,4475,26,10,6.8,226,414,1762,21,4.3,113,129,1094,27,11,4,0
St. Louis Rams,503,6690,1007,6.6,44,22,357,379,551,4663,37,22,7.9,236,416,2027,20,4.9,104,107,847,17,14,7,0
New York Giants,328,5376,1064,5.1,24,11,310,311,529,3367,22,13,6.0,195,507,2009,16,4.0,100,91,839,15,12,7,0
Tennessee Titans,392,5296,1011,5.2,22,9,294,304,527,3485,23,13,6.3,167,459,1811,19,3.9,109,114,1069,18,13,13,0
Atlanta Falcons,442, 5487,993,5.5,24,9,319,237,424,3386,28,15,7.1,175,516,2101,18,4.1,111,116,841,33,14,5,0
Green Bay Packers,422,5614,1008,5.6,32,16,325,309,523,3705,35,16,6.7,191,459,1909,9,4.2,103,93,718,31,13,11,0
New England Patriots,418,5369,1085,4.9,27,12,339,374,628,3901,27,15,5.9,206,427,1468,15,3.4,103,97,716,30,11,10,0
Pittsburgh Steelers,407,5769,1110,5.2,34,13,344,348,592,3917,21,21,6.4,193,494,1852,17,3.7,117,109,839,34,11,10,0
San Diego Chargers,381,5220,1033,5.1,23,9,311,305,522,3368,20,14,6.1,181,482,1852,13,3.8,102,96,875,28,11,9,0
Buffalo Bills,329,5260,1078,4.9,35,17,316,304,497,3317,20,18,6.3,176,550,1943,12,3.5,117,94,630,23,12,7,0
Buffalo Bills,381,5893,1087,5.4,38,17,350,293,509,3457,23,21,6.4,192,549,2436,18,4.4,133,103,775,25,11,12,0
Buffalo Bills,458,6252,1056,5.9,35,16,359,332,516,3871,39,19,7.0,208,505,2381,16,4.7,128,113,865,23,13,11,0
Buffalo Bills,428,5276,931,5.7,21,10,302,263,425,3196,28,11,7.1,161,479,2080,20,4.3,123,92,683,18,13,13,0
Denver Broncos,362,5093,1071,4.8,32,12,308,256,474,3001,21,20,5.8,163,554,2092,15,3.8,125,83,594,20,11,5,0
Cincinnati Bengals,448,6057,985,6.1,27,13,351,225,392,3347,28,14,7.9,165,563,2710,27,4.8,159,82,647,27,12,8,0
Denver Broncos,379,5624,1070,5.3,36,17,331,285,530,3654,24,19,6.5,173,510,1970,18,3.9,132,95,812,26,10,8,0
Denver Broncos,378,5216,1042,5.0,29,13,319,306,549,3538,22,16,6.0,184,455,1678,17,3.7,94,104,910,41,11,10,0
New England Patriots,362,5499,1061,5.2,42,20,294,255,457,3168,20,22,6.4,153,565,2331,15,4.1,126,114,842,15,11,11,0
Miami Dolphins,513,6936,1070,6.5,28,10,387,367,572,5018,49,18,8.6,243,484,1918,18,4.0,115,67,527,29,14,12,0
Washington Redskins,541,6139,1127,5.4,18,7,353,278,463,3514,29,11,7.1,173,629,2625,30,4.2,165,90,776,15,14,11,0
Miami Dolphins,198,2658,582,4.6,23,10,165,129,238,1314,8,13,5.3,66,333,1344,11,4.0,84,34,240,15,7,12,0
Cincinnati Bengals,421,5968,1078,5.5,24,12,361,332,550,3995,30,12,6.8,210,493,1973,19,4.0,124,109,896,27,12,7,0
